date,PMI,VIX_Open,VIX_High,VIX_Low,VIX_Close,SPX_Open,SPX_High,SPX_Low,SPX_Close
1/1/1950,59.1,NaN,NaN,NaN,NaN,16.66,17.09,16.66,17.049999
2/1/1950,60.5,NaN,NaN,NaN,NaN,17.049999,17.32,16.99,17.219999
3/1/1950,62.1,NaN,NaN,NaN,NaN,17.24,17.559999,17.07,17.290001
4/1/1950,68.1,NaN,NaN,NaN,NaN,17.530001,18.049999,17.530001,17.959999
5/1/1950,74.7,NaN,NaN,NaN,NaN,18.219999,18.780001,18.110001,18.780001
6/1/1950,76.6,NaN,NaN,NaN,NaN,18.77,19.4,17.440001,17.690001
7/1/1950,77.5,NaN,NaN,NaN,NaN,17.639999,17.91,16.68,17.84
8/1/1950,75.8,NaN,NaN,NaN,NaN,18.02,18.82,17.950001,18.42
9/1/1950,68.1,NaN,NaN,NaN,NaN,18.549999,19.450001,18.540001,19.450001
10/1/1950,59.2,NaN,NaN,NaN,NaN,19.690001,20.120001,19.530001,19.530001
11/1/1950,63.1,NaN,NaN,NaN,NaN,19.559999,20.32,19.360001,19.51
12/1/1950,67.1,NaN,NaN,NaN,NaN,19.66,20.43,19,20.43
1/1/1951,67.8,NaN,NaN,NaN,NaN,20.77,21.74,20.690001,21.66
2/1/1951,69.3,NaN,NaN,NaN,NaN,21.77,22.200001,21.76,21.799999
3/1/1951,65.5,NaN,NaN,NaN,NaN,21.85,21.950001,21.25,21.48
4/1/1951,53.5,NaN,NaN,NaN,NaN,21.32,22.43,21.26,22.43
5/1/1951,50.7,NaN,NaN,NaN,NaN,22.530001,22.809999,21.030001,21.52
6/1/1951,45.5,NaN,NaN,NaN,NaN,21.48,22.049999,20.959999,20.959999
7/1/1951,42.1,NaN,NaN,NaN,NaN,21.1,22.629999,21.1,22.4
8/1/1951,43.6,NaN,NaN,NaN,NaN,22.51,23.280001,22.51,23.280001
9/1/1951,48.1,NaN,NaN,NaN,NaN,23.280001,23.709999,23.26,23.26
10/1/1951,49.6,NaN,NaN,NaN,NaN,23.469999,23.85,22.66,22.940001
11/1/1951,47.2,NaN,NaN,NaN,NaN,23.1,23.1,22.4,22.879999
12/1/1951,46.5,NaN,NaN,NaN,NaN,23.01,23.77,23.01,23.77
1/1/1952,44.7,NaN,NaN,NaN,NaN,23.799999,24.66,23.74,24.139999
2/1/1952,41.8,NaN,NaN,NaN,NaN,24.299999,24.299999,23.09,23.26
3/1/1952,40,NaN,NaN,NaN,NaN,23.290001,24.370001,23.290001,24.370001
4/1/1952,36.7,NaN,NaN,NaN,NaN,24.18,24.18,23.32,23.32
5/1/1952,39.5,NaN,NaN,NaN,NaN,23.17,23.940001,23.17,23.860001
6/1/1952,43.3,NaN,NaN,NaN,NaN,23.799999,24.959999,23.780001,24.959999
7/1/1952,48.3,NaN,NaN,NaN,NaN,25.120001,25.4,24.809999,25.4
8/1/1952,60.4,NaN,NaN,NaN,NaN,25.450001,25.549999,24.83,25.030001
9/1/1952,56.1,NaN,NaN,NaN,NaN,25.15,25.25,24.450001,24.540001
10/1/1952,56.2,NaN,NaN,NaN,NaN,24.48,24.58,23.799999,24.52
11/1/1952,56.8,NaN,NaN,NaN,NaN,24.6,25.66,24.6,25.66
12/1/1952,55.8,NaN,NaN,NaN,NaN,25.68,26.59,25.610001,26.57
1/1/1953,59.4,NaN,NaN,NaN,NaN,26.540001,26.66,25.860001,26.379999
2/1/1953,55.4,NaN,NaN,NaN,NaN,26.51,26.540001,25.48,25.9
3/1/1953,50.5,NaN,NaN,NaN,NaN,25.93,26.33,25.290001,25.290001
4/1/1953,51.1,NaN,NaN,NaN,NaN,25.25,25.25,24.190001,24.620001
5/1/1953,48.9,NaN,NaN,NaN,NaN,24.73,25.059999,24.459999,24.540001
6/1/1953,48.5,NaN,NaN,NaN,NaN,24.15,24.219999,23.540001,24.139999
7/1/1953,46.3,NaN,NaN,NaN,NaN,24.24,24.75,24.07,24.75
8/1/1953,43.5,NaN,NaN,NaN,NaN,24.84,24.84,23.32,23.32
9/1/1953,40.2,NaN,NaN,NaN,NaN,23.42,23.65,22.709999,23.35
10/1/1953,37.4,NaN,NaN,NaN,NaN,23.49,24.58,23.389999,24.540001
11/1/1953,36.9,NaN,NaN,NaN,NaN,24.66,24.76,24.25,24.76
12/1/1953,35.6,NaN,NaN,NaN,NaN,24.780001,24.99,24.549999,24.809999
1/1/1954,37.4,NaN,NaN,NaN,NaN,24.950001,26.09,24.799999,26.08
2/1/1954,40.7,NaN,NaN,NaN,NaN,25.99,26.299999,25.809999,26.15
3/1/1954,44.7,NaN,NaN,NaN,NaN,26.25,26.940001,26.25,26.940001
4/1/1954,47.7,NaN,NaN,NaN,NaN,27.17,28.26,27.01,28.26
5/1/1954,50.1,NaN,NaN,NaN,NaN,28.209999,29.190001,28.209999,29.190001
6/1/1954,52.1,NaN,NaN,NaN,NaN,29.190001,29.43,28.15,29.209999
7/1/1954,51.7,NaN,NaN,NaN,NaN,29.209999,30.879999,29.209999,30.879999
8/1/1954,54.4,NaN,NaN,NaN,NaN,30.99,31.209999,29.83,29.83
9/1/1954,53.5,NaN,NaN,NaN,NaN,30.040001,32.689999,30.040001,32.310001
10/1/1954,58.2,NaN,NaN,NaN,NaN,32.290001,32.759998,31.68,31.68
11/1/1954,58.8,NaN,NaN,NaN,NaN,31.790001,34.549999,31.790001,34.240002
12/1/1954,63.8,NaN,NaN,NaN,NaN,33.990002,35.98,33.990002,35.98
1/1/1955,63,NaN,NaN,NaN,NaN,36.75,36.75,34.580002,36.630001
2/1/1955,67.8,NaN,NaN,NaN,NaN,36.720001,37.150002,36.439999,36.759998
3/1/1955,67.5,NaN,NaN,NaN,NaN,36.830002,37.52,34.959999,36.580002
4/1/1955,68.7,NaN,NaN,NaN,NaN,36.950001,38.32,36.830002,37.959999
5/1/1955,69.5,NaN,NaN,NaN,NaN,38.040001,38.040001,36.970001,37.91
6/1/1955,63.3,NaN,NaN,NaN,NaN,37.959999,41.029999,37.959999,41.029999
7/1/1955,66.2,NaN,NaN,NaN,NaN,41.189999,43.759998,41.189999,43.52
8/1/1955,64.8,NaN,NaN,NaN,NaN,42.93,43.18,41.740002,43.18
9/1/1955,62.4,NaN,NaN,NaN,NaN,43.369999,45.630001,42.610001,43.669998
10/1/1955,63.7,NaN,NaN,NaN,NaN,42.490002,42.990002,40.799999,42.34
11/1/1955,62,NaN,NaN,NaN,NaN,42.279999,46.41,42.279999,45.509998
12/1/1955,65.6,NaN,NaN,NaN,NaN,45.349998,45.889999,44.950001,45.48
1/1/1956,60.2,NaN,NaN,NaN,NaN,45.16,45.16,43.110001,43.82
2/1/1956,58.2,NaN,NaN,NaN,NaN,44.029999,45.43,43.419998,45.34
3/1/1956,57.2,NaN,NaN,NaN,NaN,45.540001,48.869999,45.540001,48.48
4/1/1956,55.9,NaN,NaN,NaN,NaN,48.700001,48.849998,47.09,48.380001
5/1/1956,51.2,NaN,NaN,NaN,NaN,48.16,48.509998,44.099998,45.200001
6/1/1956,47.7,NaN,NaN,NaN,NaN,45.580002,47.130001,45.139999,46.970001
7/1/1956,44.2,NaN,NaN,NaN,NaN,46.93,49.48,46.93,49.389999
8/1/1956,51.5,NaN,NaN,NaN,NaN,49.619999,49.639999,46.939999,47.509998
9/1/1956,55.5,NaN,NaN,NaN,NaN,47.889999,48.099998,45.349998,45.349998
10/1/1956,52.7,NaN,NaN,NaN,NaN,44.700001,47,44.700001,45.580002
11/1/1956,55,NaN,NaN,NaN,NaN,46.52,47.599998,44.380001,45.080002
12/1/1956,52.7,NaN,NaN,NaN,NaN,45.98,47.040001,45.84,46.669998
1/1/1957,53.6,NaN,NaN,NaN,NaN,46.200001,46.66,44.400002,44.720001
2/1/1957,51,NaN,NaN,NaN,NaN,44.619999,44.619999,42.389999,43.259998
3/1/1957,47.5,NaN,NaN,NaN,NaN,43.740002,44.23,43.740002,44.110001
4/1/1957,43.1,NaN,NaN,NaN,NaN,44.139999,45.740002,44.139999,45.740002
5/1/1957,43.4,NaN,NaN,NaN,NaN,46.02,47.43,46.02,47.43
6/1/1957,45.9,NaN,NaN,NaN,NaN,47.369999,48.240002,46.779999,47.369999
7/1/1957,45.7,NaN,NaN,NaN,NaN,47.43,49.130001,47.43,47.91
8/1/1957,45.3,NaN,NaN,NaN,NaN,47.790001,47.790001,43.889999,45.220001
9/1/1957,45.8,NaN,NaN,NaN,NaN,45.439999,45.439999,42.419998,42.419998
10/1/1957,41.1,NaN,NaN,NaN,NaN,42.759998,43.139999,38.98,41.060001
11/1/1957,40.4,NaN,NaN,NaN,NaN,40.439999,41.720001,39.439999,41.720001
12/1/1957,36.8,NaN,NaN,NaN,NaN,41.360001,41.540001,39.380001,39.990002
1/1/1958,33.4,NaN,NaN,NaN,NaN,40.330002,41.880001,40.330002,41.700001
2/1/1958,37.2,NaN,NaN,NaN,NaN,42.040001,42.459999,40.610001,40.84
3/1/1958,39.8,NaN,NaN,NaN,NaN,41.130001,42.580002,41.130001,42.099998
4/1/1958,39.1,NaN,NaN,NaN,NaN,41.93,43.439999,41.330002,43.439999
5/1/1958,46.6,NaN,NaN,NaN,NaN,43.540001,44.09,43.119999,44.09
6/1/1958,51.4,NaN,NaN,NaN,NaN,44.310001,45.34,44.310001,45.240002
7/1/1958,54.7,NaN,NaN,NaN,NaN,45.279999,47.189999,45.110001,47.189999
8/1/1958,57.3,NaN,NaN,NaN,NaN,47.490002,48.16,47.220001,47.75
9/1/1958,59.8,NaN,NaN,NaN,NaN,48,50.060001,47.970001,50.060001
10/1/1958,62.3,NaN,NaN,NaN,NaN,49.98,51.619999,49.98,51.330002
11/1/1958,62.7,NaN,NaN,NaN,NaN,51.560001,53.240002,51.02,52.48
12/1/1958,60.5,NaN,NaN,NaN,NaN,52.689999,55.209999,52.459999,55.209999
1/1/1959,64.4,NaN,NaN,NaN,NaN,55.439999,56.040001,54.889999,55.450001
2/1/1959,66.9,NaN,NaN,NaN,NaN,55.209999,55.52,53.580002,55.41
3/1/1959,67.1,NaN,NaN,NaN,NaN,55.73,56.669998,55.439999,55.439999
4/1/1959,66.9,NaN,NaN,NaN,NaN,55.689999,58.169998,55.689999,57.59
5/1/1959,68.2,NaN,NaN,NaN,NaN,57.650002,58.68,56.880001,58.68
6/1/1959,64.4,NaN,NaN,NaN,NaN,58.630001,58.630001,56.360001,58.470001
7/1/1959,61.5,NaN,NaN,NaN,NaN,58.970001,60.619999,58.91,60.509998
8/1/1959,55.1,NaN,NaN,NaN,NaN,60.709999,60.709999,58.27,59.599998
9/1/1959,48.3,NaN,NaN,NaN,NaN,58.869999,58.919998,55.139999,56.880001
