date,C_Open,C_Close,F_Open,F_Close,MCD_Open,MCD_Close,T_Open,T_Close,MSFT_Open,MSFT_Close
2009-04-23,32.9,32,4.43,4.49,54.75,55.3,26,25.5,18.92,18.92
2009-04-24,32.3,31.9,5.33,5,55.17,54.31,25.56,25.16,19.82001,20.91
2009-04-27,30.5,30.7,5.07,5.11,53.89999,54.49001,25.2,25.31,20.55,20.39999
2009-04-28,29,28.9,5.08,5.19,54.05,54.53,25.2,25.64999,20.25,19.92999
2009-04-29,30.6,31.2,5.32,5.45,55.09,54.41,25.89999,25.52,20.11,20.25
2009-04-30,32.6,30.5,5.58,5.98,54.71001,53.28999,25.83,25.62,20.60001,20.25999
2009-05-01,31.1,29.7,5.99,5.69,53.21001,52.39999,25.88,26.00999,20.19,20.24001
2009-05-04,30.7,32,5.9,5.875,52.89,52.77,26.11,26.69,20.37,20.19
2009-05-05,32.9,33.1,5.82,5.85,53,53.16,26.50999,26.5,20.14,19.78999
2009-05-06,35.1,38.6,5.91,6.26,53.55,53.69,26.64,26.69,20.06,19.78999
2009-05-07,43.8,38.1,6.51,6.06,54.02,53.39,26.2,25.45,19.96001,19.32001
2009-05-08,41.9,40.2,6.19,6.24,55.10001,54.92,25.7,25.25,19.46001,19.42
2009-05-11,39.7,38.6,6.09,6.08,54.83,54.39999,25.22,25.36,19.2,19.32001
2009-05-12,39.9,36.6,5.74,5.01,54.74001,53.97,25.49001,25.73,19.50999,19.89
2009-05-13,35.7,34.1,4.77,4.96,53.52,53.49001,25.39999,25.24001,19.9225,19.75
2009-05-14,33.6,35.5,5.16,5.16,53.36,53.57001,25.42,24.98,19.83,20.06
2009-05-15,36.4,34.8,5.22,5.49,53.47,53.46001,25.09,24.88,20.13,20.22
2009-05-18,36.4,36.4,5.69,5.5,53.50999,54.2,25.02,24.59,20.36,20.60001
2009-05-19,38,37.7,5.49,5.63,54.34,53.87,24.75,24.67,20.50999,20.31
2009-05-20,39,36.9,5.66,5.41,55.17999,56.25,24.86,24.13,20.41,20.38
2009-05-21,36.7,37.2,5.25,5.33,55.67999,55.69,23.98,23.67,20.14,19.82001
2009-05-22,37.8,36.7,5.37,5.26,55.92,57.08,23.59,23.67999,19.92999,19.75
2009-05-26,36.8,37.7,5.16,5.4,56.97,58.84,23.8,24.50999,19.53999,20.34
2009-05-27,38.2,37,5.48,5.34,58.67999,57.82001,24.44,24.07001,20.25,20.13
2009-05-28,37.6,36.7,5.41,5.56,57.89,58.13,24.22,24.63,20.32001,20.45
2009-05-29,37.4,37.2,5.58,5.75,58.28,58.99001,24.73,24.78999,20.56,20.89
2009-06-01,37.6,36.9,5.95,6.13,59.17999,59.85001,24.97,24.64,21,21.39999
2009-06-02,36.1,35.1,6.17,6.41,59.57001,60.38,24.71001,24.84,21.36,21.39999
2009-06-03,34.5,33.9,6.3,6.18,59.85001,60.99001,24.67,24.46001,21.31,21.73
2009-06-04,34.3,35.7,6.18,6.36,60.64999,60.24001,24.64,24.36,21.77,21.83
2009-06-05,36.6,34.6,6.47,6.36,60.39999,59.87,24.60001,24.56,21.96001,22.14
2009-06-08,33.8,34.2,6.21,6.38,58.58,58.72,24.22,24.39999,21.98,22.05
2009-06-09,34.2,34.1,6.38,6.26,59.02,59.08,24.44,24.21001,22.06,22.08
2009-06-10,35.2,34.8,6.32,6.19,59.60001,58.36,24.32001,24.28,22.17,22.55
2009-06-11,35,34.8,6.15,5.98,58.32001,57.67,24.36,24.78999,22.59,22.83
2009-06-12,34.7,34.7,6.01,6.11,57.72,58.36,24.64999,25.00999,22.89999,23.33
2009-06-15,34.5,33.7,6.02,5.93,58.10001,57.78,24.78,24.63,23.23,23.42
2009-06-16,33.9,32.5,5.94,5.67,57.91,57.07001,24.36,24.22,23.47,23.45
2009-06-17,32.2,30.8,5.64,5.71,57.21001,57.37,24.25999,24.14,23.5,23.67999
2009-06-18,31,31.3,5.78,5.68,57.55,58.16,24.13,24.13,23.62,23.5
2009-06-19,32.1,31.7,5.73,5.72,58.41,58.17,24.31,24.03999,24.03999,24.07001
2009-06-22,31.4,30,5.67,5.38,57.8,57.2,23.92,24.14999,23.95,23.28
2009-06-23,30.3,30.1,5.43,5.53,57.53999,56.75999,24.23,24.66,23.38,23.34
2009-06-24,30.5,30.4,5.66,5.63,57.07001,56.3,24.83,24.64999,23.45,23.47
2009-06-25,30.5,30.3,5.57,5.68,56.21001,57.46001,24.5,24.85001,23.42999,23.78999
2009-06-26,30.4,30.3,5.65,5.61,57.39,57,24.77,24.82001,23.57001,23.35001
2009-06-29,30.2,30.2,5.66,5.78,57.19,57.23,24.89,25.22,23.60001,23.86
2009-06-30,30.1,29.7,5.96,6.07,57.3,57.49001,25.14,24.84,23.97,23.77
2009-07-01,30,29.7,6.12,5.91,57.64999,58.22,24.94,25.07001,24.05,24.03999
2009-07-02,29.4,28.8,5.83,5.89,57.69,57.45,24.99001,24.59,23.75999,23.37
2009-07-06,28.6,27.9,5.87,5.75,57.08,57.99001,24.55,24.8,23.21001,23.2
2009-07-07,28.1,26.9,5.74,5.53,58,56.8,24.86,24.33,23.08,22.53
2009-07-08,27.1,26.2,5.55,5.35,57.10001,57.03999,24.14999,23.53999,22.31,22.56
